net,length_um
_153_,4.46
_208_,4.46
_231_,4.44
_214_,4.42
_046_,4.36
_016_,4.315
product[15],4.27
_002_,4.24
_095_,4.2
_108_,4.2
_132_,4.2
_217_,4.2
net67,4.1
_102_,4.02
_234_,4
_236_,4
mcand[3],3.93
mplier[15],3.93
mplier[1],3.93
_068_,3.9
_074_,3.88
_120_,3.88
_187_,3.88
_222_,3.88
_129_,3.68
_229_,3.66
_058_,3.64
_078_,3.54
_198_,3.54
_030_,3.535
mcand[15],3.47
_003_,3.465
_140_,3.42
_178_,3.42
_015_,3.32
_024_,3.32
_138_,3.22
net70,3.22
_063_,3.08
_076_,3.08
_007_,3.045
_012_,3.045
_004_,3.005
_139_,2.98
_109_,2.96
net74,2.96
_006_,2.785
_223_,2.76
net78,2.76
_083_,2.72
_013_,2.715
_051_,2.64
_070_,2.64
_131_,2.62
_206_,2.62
_029_,2.545
_036_,2.545
_166_,2.52
_218_,2.52
_116_,2.5
_197_,2.5
_022_,2.42
_035_,2.42
_152_,2.4
_014_,2.325
_019_,2.325
_039_,2.325
_090_,2.3
_123_,2.3
_165_,2.3
_181_,2.3
net79,2.3
net81,2.3
_113_,2.215
_043_,2.18
_171_,2.18
net71,2.18
_118_,2.16
_146_,2.16
_156_,2.16
_172_,2.16
_191_,2.16
_192_,2.16
net84,2.16
_037_,2.125
_009_,2.085
_133_,2.06
_148_,2.06
_134_,2.04
net34,2.04
_011_,2.025
_018_,2.025
_020_,2.025
_023_,2.025
_147_,1.94
net18,1.94
_021_,1.92
_033_,1.915
_026_,1.865
_028_,1.865
_084_,1.84
_114_,1.84
_137_,1.84
_185_,1.84
_227_,1.84
_161_,1.82
_150_,1.72
_173_,1.72
_219_,1.7
_001_,1.405
_008_,1.405
_086_,1.38
_167_,1.38
_179_,1.38
_088_,1.26
_164_,1.14
_210_,1.14
_077_,0.92
_184_,0.92
net69,0.92
_052_,0.46
_055_,0.46
_094_,0.46
_110_,0.46
_155_,0.46
_158_,0.46
