net,length_um
_280_,8.78
mcand[22],8.73
mcand[21],8.72
_171_,8.58
_389_,8.52
product[1],8.5
product[33],8.5
net47,8.48
product[4],8.38
_191_,8.36
_123_,8.26
mcand[2],8.26
_366_,8.24
net178,8.24
_073_,8.18
_002_,8.105
_252_,8.1
_368_,8.1
_382_,8.06
product[44],8.04
_047_,8.035
_043_,8.025
_307_,7.98
product[8],7.95
_149_,7.9
_262_,7.9
net150,7.9
_017_,7.88
_201_,7.78
_294_,7.74
_246_,7.69
_181_,7.68
_399_,7.68
_347_,7.66
_391_,7.6
_394_,7.6
done,7.58
product[20],7.58
product[23],7.58
product[29],7.58
product[57],7.58
_257_,7.56
net177,7.56
_426_,7.52
_128_,7.42
_209_,7.42
_428_,7.4
product[3],7.37
_345_,7.24
st,7.23
net162,7.18
_041_,7.145
net145,7.14
_069_,7.015
_300_,6.98
product[24],6.89
_242_,6.86
_005_,6.825
mplier[18],6.79
_286_,6.78
_324_,6.78
mcand[13],6.77
mcand[6],6.77
_387_,6.76
_217_,6.6
_405_,6.6
_415_,6.6
net39,6.6
_301_,6.58
_254_,6.54
_158_,6.52
_320_,6.5
mplier[7],6.43
product[11],6.43
_270_,6.42
net159,6.4
_023_,6.365
_302_,6.36
_218_,6.3
_309_,6.3
_050_,6.285
_298_,6.28
_176_,6.26
net176,6.26
product[32],6.21
product[54],6.21
acu_act\[64\],6.18
net175,6.18
_213_,6.14
_203_,6.08
_136_,6.06
_365_,6.04
_287_,5.96
net180,5.895
mplier[3],5.87
product[40],5.87
_152_,5.84
_245_,5.84
_419_,5.84
_085_,5.8
_380_,5.8
_400_,5.8
net158,5.8
product[49],5.75
_029_,5.74
_370_,5.74
_229_,5.72
_240_,5.72
mcand[12],5.63
_105_,5.6
_193_,5.6
_334_,5.6
product[13],5.53
product[17],5.53
product[19],5.53
product[37],5.53
product[38],5.53
net137,5.52
net144,5.52
_039_,5.505
_352_,5.48
_036_,5.44
_022_,5.435
mcand[28],5.41
_424_,5.4
_104_,5.38
_188_,5.36
_221_,5.34
_292_,5.34
_318_,5.34
net157,5.34
product[61],5.31
_061_,5.305
mplier[25],5.29
_060_,5.28
_153_,5.28
_412_,5.28
_314_,5.26
_414_,5.22
mcand[14],5.19
_054_,5.16
mplier[19],5.07
net165,5.06
_120_,5.04
_211_,5.04
_268_,5.04
_350_,5.04
_137_,5.02
mplier[12],4.95
_068_,4.92
_130_,4.92
_293_,4.92
_336_,4.92
_410_,4.92
_417_,4.92
net174,4.92
_420_,4.9
_189_,4.88
_206_,4.88
_241_,4.88
_247_,4.88
_263_,4.88
product[31],4.85
product[35],4.85
product[5],4.85
_038_,4.845
_040_,4.845
_110_,4.82
_282_,4.82
_045_,4.805
_076_,4.805
_194_,4.8
_333_,4.76
net164,4.76
_064_,4.755
_343_,4.7
mplier[24],4.61
_230_,4.6
_202_,4.58
_186_,4.56
net169,4.56
_190_,4.48
_319_,4.48
_214_,4.46
_364_,4.46
_375_,4.46
_425_,4.46
_361_,4.44
_376_,4.42
_397_,4.42
mcand[1],4.39
product[34],4.39
product[48],4.39
product[9],4.39
_001_,4.385
_010_,4.385
_026_,4.385
_058_,4.385
net151,4.385
_009_,4.38
net140,4.36
_165_,4.34
_244_,4.34
_401_,4.34
net146,4.34
mcand[31],4.27
mcand[3],4.27
product[14],4.27
product[41],4.27
_020_,4.24
_031_,4.24
_063_,4.165
_219_,4.14
_290_,4.14
_346_,4.14
_125_,4.1
_197_,4.1
_117_,4.02
_342_,4.02
net143,4.02
_276_,4
_360_,4
_251_,3.98
mcand[4],3.93
mplier[6],3.93
cnt_act\[5\],3.9
_231_,3.88
_256_,3.88
_279_,3.88
_325_,3.88
_367_,3.88
_423_,3.88
_033_,3.805
_156_,3.77
_028_,3.705
_044_,3.705
_048_,3.705
_072_,3.705
_146_,3.68
net152,3.68
_140_,3.575
net155,3.54
net172,3.54
_291_,3.44
_147_,3.42
_259_,3.42
_296_,3.42
_335_,3.42
_421_,3.42
net149,3.42
_051_,3.345
net170,3.345
_008_,3.32
_283_,3.32
_013_,3.245
_024_,3.245
_139_,3.22
_148_,3.22
net141,3.22
_289_,3.2
_034_,3.175
_225_,3.1
net154,3.1
_092_,3.08
_161_,3.08
_238_,3.08
_003_,3.045
_107_,3.03
_056_,3.005
_108_,2.96
_143_,2.96
_205_,2.96
_248_,2.96
_249_,2.96
_303_,2.96
net171,2.96
_358_,2.86
_018_,2.835
_065_,2.805
_019_,2.785
_066_,2.785
_323_,2.76
_204_,2.74
_316_,2.74
_059_,2.715
_122_,2.68
net181,2.68
_354_,2.64
_192_,2.62
_226_,2.62
_227_,2.62
_344_,2.62
net138,2.62
_007_,2.585
_004_,2.545
_027_,2.545
_167_,2.52
_220_,2.52
_224_,2.52
_408_,2.52
net52,2.52
_310_,2.5
_356_,2.5
_032_,2.42
_067_,2.42
_011_,2.375
net168,2.375
_006_,2.325
_025_,2.325
_070_,2.325
_182_,2.3
net166,2.3
_082_,2.28
_371_,2.28
_071_,2.255
_035_,2.205
_164_,2.18
_330_,2.18
_049_,2.16
_090_,2.16
_096_,2.16
_109_,2.16
_131_,2.16
_141_,2.16
_170_,2.16
_299_,2.16
_012_,2.085
_037_,2.085
_275_,2.06
_381_,2.06
_385_,2.06
_386_,2.06
_396_,2.06
_235_,2.04
_145_,1.94
_106_,1.915
net156,1.915
_014_,1.865
_057_,1.865
_132_,1.84
_255_,1.84
_274_,1.84
_297_,1.84
_362_,1.84
_374_,1.84
net133,1.84
_062_,1.7
_183_,1.7
_198_,1.7
_265_,1.7
_284_,1.7
