net,length_um
_04085_,579.065
net118,567.37
_05467_,560.59
net1,537.705
net116,537.29
net27,527.41
net62,524.85
net22,515.06
_02866_,499.94
net3,499.75
net108,498.48
net81,494.07
_04596_,482.025
_05541_,475.69
net117,475.45
_05388_,469.51
_05656_,468.135
net102,466.83
_05655_,463.255
net69,462.38
_02052_,461.36
_03027_,457.16
net70,456.9
_01800_,456.7
_02865_,456.49
_00319_,447.23
_02230_,441.35
_05637_,440.84
_00340_,439.38
_02051_,438.98
net127,438.48
_01050_,434.305
_02228_,429.465
_01980_,428.135
_03690_,427.465
net64,419.7
_02400_,415.99
net93,414.62
_01039_,414.3
_03583_,413.05
net10,411.38
_02251_,409.97
_02161_,407.64
net6,406.93
_05311_,405.175
_04976_,404.79
net11,403.93
_01620_,402.59
net47,402.58
net58,396.14
net55,392.52
_03572_,391.06
_03178_,390.8
net126,389.3
_01680_,388.1
net33,386.02
_00623_,385.68
_02677_,385.295
_05410_,385.005
_01497_,384.36
net107,384.22
_00041_,382.01
net19,381.85
_01357_,381.66
_01782_,381.49
_05497_,381.085
_03026_,380.53
_01441_,380.43
net66,380.36
_03736_,379.015
_02864_,378.645
_00143_,377.615
net13,377.44
_04737_,377.25
_05305_,376.83
_02351_,376.615
_05320_,375.725
_00657_,375.52
_01977_,375.28
net34,373.24
net111,372.2
_05468_,369.23
_02850_,368.31
net31,367.67
net36,365.89
_00042_,363.8
_01978_,363.365
_03627_,363.34
_05304_,363.32
_02174_,362.78
_03091_,361.735
_02390_,361.3
net52,360.82
_01605_,360.72
net83,360.03
_04552_,359.76
_04531_,359.56
_00428_,359.38
_04998_,358.13
_02516_,357.86
_02163_,357.84
_00646_,355.88
_05307_,355.61
net113,355.36
_00624_,355.18
_03478_,350.98
_05308_,350.89
_00076_,350.81
net43,350.58
_04585_,349.645
_02345_,348.44
_01771_,348.22
net78,347.555
_04748_,346.41
_01356_,344.04
_03675_,343.09
_00409_,342.105
net89,340.12
_05419_,338.97
_02764_,338.84
_04922_,338.21
_00138_,337.92
_02173_,337.35
net63,336.54
net14,336.44
_02812_,334.72
net37,334.41
_02387_,334.2
_00799_,333.98
net46,333.87
net91,333.83
_04889_,332.13
_01849_,331.92
_02695_,329.99
_00439_,329.635
_00974_,329.425
_04770_,328.93
net17,326.905
_00762_,326.59
net73,325.92
_02178_,325.69
net44,323.49
_03524_,323.27
_05676_,322.8
_03672_,320.58
net5,318.91
_03030_,318.69
_00139_,317.8
_01007_,316.77
_02227_,316.235
_05659_,315.02
_01682_,314.02
_00269_,313.745
_00344_,312.75
_00392_,312.305
_01249_,311.765
_05585_,311.68
_02868_,311.62
_00985_,310.18
_02219_,309.17
_01671_,306.01
_01041_,305.63
_03172_,304.86
net77,304.54
_00526_,304.5
_04781_,302.855
_03310_,302.5
_03006_,302.31
_05551_,301.97
_00330_,301.44
_00548_,299.41
_02045_,298.24
_02160_,297.66
_02838_,296.85
net38,296.615
_03247_,295.83
_02236_,294.95
net16,294.15
_01651_,293.79
_02947_,293.34
_00635_,292.08
_01662_,291.855
_05574_,291.79
_02197_,291.38
_03100_,291.3
_01500_,291.24
_02065_,290.62
_01604_,290.49
net98,289.64
net9,289.42
_05008_,289.32
_03616_,288.7
_00346_,288.31
_03201_,287.71
_03365_,287.02
_00751_,286.52
_00504_,286.36
_03294_,285.27
_00355_,285.12
_04716_,285.11
net29,285.08
_05553_,285.04
_02894_,284.9
net101,284.7
net56,284.56
_05464_,284.48
_05557_,284.24
net120,284.22
_02321_,284.05
_02813_,283.9
_02941_,283.25
net123,283.04
_05310_,282.715
_02840_,282.5
_03321_,281.25
_02732_,280.06
_05539_,279.94
_03012_,279.28
_00753_,279.25
_02919_,278.06
_02984_,277.45
_00963_,277.2
_03373_,276.85
_05589_,276.71
_00038_,276.35
net76,276.26
_03124_,275.82
_00609_,275.56
_05463_,275.52
_02325_,274.35
_03791_,274.06
_00896_,273.34
_03216_,273.2
_01864_,271.11
_00034_,269.99
_03341_,269.99
_01042_,269.97
net12,269.7
_00748_,268.46
_00237_,268.26
_00495_,267.875
_02447_,267.62
_05540_,267.6
net2,267.29
net59,267.04
_02751_,266.9
_03055_,266.11
net53,265.81
_01606_,264.41
_02105_,263.75
net20,263.2
_02721_,262.7
_00537_,262.26
_02054_,261.785
_00496_,261.58
_02897_,261.34
_00533_,259.915
net7,259.81
_05486_,259.53
_00488_,258.22
_03080_,257.79
_00150_,257.39
_01502_,256.85
net48,256.09
_00236_,255.41
_03297_,255.21
_00987_,255.17
net114,254.8
_01221_,253.045
_02281_,252.4
_01414_,252.33
_02626_,251.2
_03574_,250.99
_04726_,250.84
_02576_,250.83
net30,249.86
_00094_,248.53
_02141_,247.17
net86,246.76
_01798_,246.255
net60,245.76
_04802_,245.37
net18,245.34
_01856_,244.69
_05693_,244.62
net15,244.18
_01607_,244.04
_04878_,244.01
_03649_,243.93
_01353_,243.54
_05636_,242.85
_01552_,242.525
_00240_,241.94
_03217_,241.3
_02459_,241.26
net35,238.7
net4,237.67
_02667_,237.54
_03489_,237.36
_02645_,237.35
net178,236.52
_00754_,236.37
_01582_,236.195
_00798_,236.16
_02720_,236.1
_00349_,235.375
_05030_,235.32
_00411_,234.98
_01949_,233.94
_01610_,233.8
_05284_,233.72
_02408_,233.66
_00668_,233.275
_00084_,232.4
_03288_,231.9
_02699_,231.465
_01903_,231.29
_02320_,231
net96,230.44
_04900_,229.98
_02185_,229.68
_01486_,229.38
_02943_,227.9
_02208_,227.325
_00152_,226.97
_02134_,226.625
_02529_,226.33
_01379_,225.52
_00908_,224.835
_02061_,223.96
_03834_,223.17
_02458_,222.245
_01898_,222.07
_05387_,219.7
_03780_,219.62
_01759_,219.36
_04549_,219.13
_00362_,218.205
_03171_,216.835
_02064_,216.19
_01503_,215.74
_00087_,215.68
_00686_,215.22
_00894_,214.99
_03856_,214.82
_02492_,214.67
_04542_,214.145
_02666_,214.04
_01109_,213.4
_04157_,213.04
_01580_,212.605
_05689_,212.37
_00356_,212.05
net32,211.78
_02723_,211.6
_05319_,211.2
_01603_,210.99
_02862_,210.985
_03015_,210.98
_00914_,210.62
_02302_,209.96
_03440_,209.7
_05327_,209.5
_00373_,209.33
net79,209.26
_00033_,208.65
net88,207.53
_02944_,206.13
net61,205.96
_05593_,205.78
_03827_,205.36
_04543_,204.85
_01852_,204.275
_02843_,203.92
_05552_,202.79
net26,202.12
_03491_,201.59
_03387_,201.52
_02705_,201.38
_02558_,200.88
_00690_,200.265
_03982_,199.7
_02113_,199.64
_02726_,199.64
_01675_,199.48
net87,199.12
net90,199.12
_00983_,199.02
_01171_,198.82
_03490_,198
_02554_,197.41
_03862_,196.32
_03605_,196.03
_04074_,195.99
_02958_,195.66
_02976_,195.16
_01674_,195.11
_00294_,194.16
_00350_,194.09
_02104_,193.94
_02562_,192.76
_01181_,191.46
_05341_,191.42
net28,191.23
_02405_,191.06
_05502_,190.46
_00556_,190.4
_05288_,190.26
_00546_,190.21
_03433_,189.49
_03238_,189.37
_00297_,189.32
_00358_,188.97
_00810_,188.555
_00614_,188.52
_03343_,188.34
_01853_,188.13
_03085_,188.09
net181,188
_00283_,187.285
_03912_,186.97
_03255_,186.78
_02837_,186.54
_05640_,186.16
_00308_,186.015
_01247_,185.25
_01060_,185.16
_00747_,185
_05425_,184.76
_00461_,184.7
_02232_,184.26
_02513_,183.415
_00089_,182.98
_00395_,182.42
_02036_,181.3
_03237_,181.23
_00895_,180.86
_01943_,180.83
_01499_,179.985
_05343_,179.67
_05293_,179.44
_05416_,179.295
_01351_,179.23
_03532_,178.96
_03376_,177.92
_00059_,177.86
_03254_,177.39
_00558_,176.57
_02386_,176.43
_00348_,175.46
_02060_,173.76
_03866_,173.36
net41,173.25
_00408_,172.8
net115,172.68
_00758_,171.12
_00035_,170.75
_02646_,170.46
_04705_,169.935
_04043_,169.34
_00498_,169.285
_05345_,168.875
_03332_,168.82
_00151_,167.85
net8,167.82
_00187_,167.4
_01236_,167.38
_00611_,167.23
_05550_,167.225
_01888_,167.045
_02108_,166.44
net218,166.05
_00048_,165.66
net49,165.48
_00924_,165.45
_03396_,165.205
_03807_,165.11
_01935_,164.78
net129,164.7
_04196_,164.1
_01588_,163.54
_01385_,163.2
_02641_,163.14
_01040_,162.36
_00515_,162.08
_03324_,161.47
_00605_,160.99
_00802_,160.78
net51,160.72
_03223_,160.44
_01762_,160.04
_00450_,159.915
_05686_,159.56
_00679_,159.04
_00610_,158.825
_00750_,158.8
_03323_,158.15
_04724_,158.03
_00832_,157.93
_00154_,157.76
_04374_,157.48
_02692_,156.7
_01976_,156.68
_00898_,155.96
_01760_,155.545
_01848_,155.3
_00354_,154.985
_04520_,154.3
_01048_,154.08
_05318_,153.98
_00050_,153.78
_00900_,153.13
_00617_,152.9
_00387_,152.695
net92,152.68
_00421_,152
_01355_,149.4
_01278_,149.13
_00195_,148.92
_01673_,148.8
net45,148.68
_00189_,148.395
net100,148.2
net42,147.76
_05423_,147.54
_00612_,146.64
_03483_,146.06
_05635_,145.85
_01196_,145.5
_00626_,145.42
_01074_,144.64
_00918_,144.32
_00615_,143.96
_00232_,143.855
_01501_,143.41
_02136_,142.84
_03759_,142.67
_02274_,142.45
_00165_,142.08
_00351_,141.61
_02384_,141.42
_01222_,141.24
_05342_,140.27
_01185_,139.95
_02055_,139.46
_03398_,139.44
net50,139.08
_00854_,137.1
_00243_,136.47
_02177_,135.655
_01219_,135.27
net105,135.02
_01783_,134.98
_00345_,134.18
_00494_,133.72
_01887_,131.88
_00233_,131.69
_02110_,131.5
_03004_,131.18
net119,131.16
_00252_,130.31
_00893_,130.305
_04564_,129.78
_00343_,129.32
_00384_,128.5
net57,127.92
_00830_,127.865
net21,126.12
_01508_,125.62
_01192_,125.025
_01553_,124.53
_00241_,124.44
_02640_,124.22
_00248_,123.76
_00843_,123.69
net106,123.64
_01284_,123.52
_04063_,123.27
_00493_,122.97
_04800_,121.56
_00627_,121.53
_04153_,121.38
_04732_,120.54
_02041_,120.16
_02810_,120.08
_00882_,118.4
_01805_,118.055
_05658_,117.95
_02379_,117.77
_03872_,117.73
_01524_,117.01
net85,116.74
_01619_,116.7
_00565_,116.67
_00179_,116.18
_01964_,116.09
_02376_,115.73
_04883_,115.02
_03968_,113.48
net39,113.15
_01449_,112.85
_00086_,112.5
_00559_,111.76
_02102_,111.76
_04301_,111.66
_00837_,111.62
_04089_,111.62
_00801_,111.61
_00991_,111.595
_01850_,110.64
_02000_,110.14
_00406_,110.025
_01916_,110
_03808_,108.28
_01349_,108.08
_05697_,106.98
net40,106.92
_00235_,106.55
_05344_,106.42
_01252_,106.28
_05391_,104.82
_05033_,104.44
_04873_,104.41
_01707_,104.18
_02954_,103.605
_03674_,103.32
net99,103.08
_00092_,102.65
_01987_,102.56
_01732_,102.02
_02319_,100.52
_05470_,100.5
_04505_,100.285
_03119_,100.24
_01242_,99.42
_00660_,98.38
_05543_,98.18
_02296_,97.79
_02469_,97.62
_04544_,97.54
net82,97.54
_02936_,97.24
_03940_,97.2
_01426_,96.72
_01795_,96.04
_00925_,96.03
_01706_,96.01
_00903_,95.96
_02157_,95.96
_00688_,95.8
_05642_,95.52
_05545_,95.44
_00929_,95.06
_01259_,94.78
_04265_,94.72
_02427_,94.7
_02595_,94.69
_00413_,94.41
_03034_,94.34
_01354_,94.3
_03101_,94.025
_00581_,93.72
_03670_,93.04
_01114_,92.47
_04042_,91.855
_03845_,91.775
_00472_,91.53
_01187_,91.16
_03074_,90.64
_05424_,90.64
_01938_,90.41
_00767_,90.33
_02846_,90.3
_04263_,89.98
_00285_,89.26
_04040_,88.9
_02981_,88.88
_04638_,88.38
_04275_,87.64
_02129_,87.04
_01131_,86.91
net72,86.82
_02133_,86.6
_03676_,86.38
_01338_,86.24
_02081_,86.145
_00485_,85.96
_00197_,85.54
_01597_,85.34
_01257_,85.14
net54,85.1
_04185_,85.08
_02186_,84.86
_04165_,84.58
_04105_,84.12
_03273_,83.84
_00249_,83.82
_00765_,82.8
_03070_,82.08
_04144_,81.16
_02205_,81.12
_03618_,81.09
_03120_,80.98
_02636_,80.94
_03867_,80.405
_03640_,80.295
_01525_,80.27
_03615_,79.94
_03549_,79.84
_03354_,79.54
_04148_,79.38
_05559_,79.32
_01683_,79.28
_01416_,79.12
_05696_,79.06
_03145_,78.86
_00430_,78.83
_02082_,78.82
_03339_,78.72
_00284_,78.5
