net,length_um
_04399_,78.24
_00529_,78.02
_03570_,77.95
_03832_,77.94
net125,77.94
_00183_,77.92
_02007_,77.9
_02600_,77.86
net97,77.34
_02793_,77.32
_04550_,77.26
_05383_,77.195
_04075_,77.19
_01335_,76.98
_02467_,76.98
_03594_,76.88
_02254_,76.74
_00769_,76.64
_02770_,76.64
_00695_,76.36
_03720_,76.06
_03579_,75.58
_00301_,75.54
_00178_,75.48
_01132_,75.24
_00547_,75.07
_05471_,74.94
_01696_,74.1
_05384_,74.02
_03703_,74
net80,73.9
_00563_,73.85
_01140_,73.68
_01491_,73.4
net103,73.4
net71,73.34
_00887_,73.06
_00412_,72.96
_04088_,72.57
_02490_,72.235
net23,72.2
_05041_,72.16
_00361_,71.62
net95,71.58
_03386_,71.555
_05022_,71.515
_04738_,71.5
_01708_,71.3
_00075_,71.24
_02069_,71.24
_03924_,71.23
_04149_,71.08
_00205_,70.92
_01793_,70.875
_00036_,70.8
_02079_,70.74
_05459_,70.7
_04297_,70.62
_00835_,70.46
_03664_,70.32
_02364_,70.24
_03861_,70.24
_03945_,70.22
_05322_,70
_01496_,69.68
_02008_,69.52
_02271_,69.52
_03505_,69.5
_02398_,69.22
_03685_,68.62
_04484_,68.6
_00865_,68.54
_00275_,68.48
_01055_,68.34
_02206_,68.34
_03981_,68.32
_01709_,68.26
_02824_,68.24
net24,68.04
_00711_,67.865
_01510_,67.84
_03013_,67.585
_00707_,67.28
_00510_,67.24
_01498_,67.08
_01598_,66.88
_00081_,66.48
_05300_,65.88
_02080_,65.73
_01008_,65.72
_03823_,65.72
_02373_,65.68
_03274_,65.68
_00738_,65.48
_01202_,65.08
_01198_,65
_05019_,64.76
_00171_,64.38
_04587_,64.2
_00443_,64.18
_04541_,64.07
_00853_,63.83
_00204_,63.82
_03621_,63.8
_03138_,63.72
_04586_,63.54
_00315_,63.19
_01438_,63.02
_00713_,62.84
_01427_,62.84
_01097_,62.58
_00391_,62.42
net94,62.42
_02811_,62.28
_05484_,62.26
_01625_,62.24
_03925_,61.6
_00981_,61.48
_01304_,61.34
_00193_,61.26
_00771_,61.24
_00447_,61.1
_04445_,61.1
_00446_,61.09
_01275_,60.76
_04139_,60.58
_03893_,60.475
_03296_,60.46
_00316_,59.88
_03946_,59.84
_01303_,59.76
_04804_,59.58
_03718_,59.415
_03568_,59.19
_01223_,59.16
_03170_,59.12
_05685_,59.09
_01750_,59
_00570_,58.92
_02547_,58.84
_02663_,58.66
_05400_,58.34
_00442_,58.32
_01526_,58.31
_03179_,58.275
_00989_,58.2
_02229_,58.18
_02374_,58.14
_01397_,58.12
_03014_,58.08
_03777_,58.04
_01199_,57.96
_01601_,57.865
_01344_,57.85
_02182_,57.7
_02098_,57.68
_02548_,57.64
_04655_,57.48
_00506_,57.36
_00201_,57.35
_01748_,57.32
_01669_,57.12
_02949_,57.02
_03438_,56.98
_00583_,56.78
_03641_,56.72
_02952_,56.64
_03824_,56.54
_01960_,56.34
_01009_,56.26
_00427_,56.1
_00808_,56.08
_05687_,55.78
_04801_,55.605
_00582_,55.48
_03041_,55.46
_02407_,55.34
_00955_,55.3
_05627_,55.3
_03431_,55.28
_03506_,55.26
_04993_,55.26
_00578_,55.23
_00693_,55.14
_01716_,55.06
_05622_,55.05
_02396_,55.04
_01565_,54.9
_05575_,54.74
_00631_,54.64
_00641_,54.61
_02155_,54.54
_01896_,54.4
_05209_,54.145
_04120_,53.815
_03776_,53.72
_03551_,53.32
_01286_,53.26
_00423_,53.22
_05491_,53.16
_00855_,52.92
_02070_,52.92
_00268_,52.88
_02688_,52.88
_01083_,52.72
_04142_,52.72
_00170_,52.66
_02787_,52.6
_01440_,52.57
_02955_,52.5
_05405_,52.46
_00511_,52.36
_00592_,52.32
_01393_,52.28
_05475_,52.2
_01825_,52.18
_04230_,51.86
_04046_,51.64
_01876_,51.62
_04187_,51.56
_03789_,51.52
_04548_,51.42
_00402_,51.415
_02678_,51.39
_01527_,51.38
_03960_,51.38
_01600_,51.345
_04026_,51.34
_04421_,51.16
_03212_,51.12
_03538_,51
_02058_,50.83
_03955_,50.82
_03356_,50.78
_02671_,50.68
_00873_,50.64
_00577_,50.6
_01028_,50.4
_00637_,50.36
_02256_,50.275
_02597_,50.24
_00839_,50.2
_03193_,50.2
_01827_,50.11
net74,50.06
_02514_,50.04
_05675_,50.04
_01542_,49.995
_03497_,49.92
_04182_,49.83
_04572_,49.82
_01359_,49.66
_04369_,49.56
_00772_,49.54
_01076_,49.5
_01112_,49.44
_04693_,49.32
_04901_,49.28
_05555_,49.245
_01396_,49.24
_01243_,49.18
net84,49.18
_02234_,48.82
_04694_,48.8
_01515_,48.78
_00410_,48.62
_00888_,48.59
_00522_,48.49
_01802_,48.48
_05691_,48.46
_01875_,48.42
_04807_,48.32
_03157_,48.2
_05337_,48.16
_03806_,48.12
_03082_,48.06
_00642_,48
_05336_,47.96
_02327_,47.82
_00860_,47.68
_03624_,47.62
_04338_,47.62
_00708_,47.58
_00828_,47.56
_02710_,47.56
_01715_,47.54
_01411_,47.53
_01282_,47.46
_05269_,47.42
_04236_,47.24
_00949_,47.2
net112,47.14
_05266_,47.12
_01753_,47.04
_03245_,46.98
_04866_,46.88
_02262_,46.78
_04155_,46.74
_04478_,46.5
_01387_,46.46
_02152_,46.46
_05112_,46.46
_01151_,46.24
_01469_,46.19
_00602_,46.04
_04397_,45.96
_03056_,45.92
_00653_,45.89
_04830_,45.87
_02455_,45.72
_00782_,45.68
_04232_,45.66
_04745_,45.6
_03251_,45.46
_00535_,45.4
_01470_,45.4
_02444_,45.32
_04592_,45.16
_01576_,45.15
_00370_,45.1
_03264_,45.08
_05055_,45.06
_02625_,45
_04050_,44.98
_01366_,44.94
_00274_,44.84
_01574_,44.82
_02443_,44.8
_03024_,44.7
_01766_,44.64
_00968_,44.5
_05346_,44.46
_05560_,44.38
_03758_,44.37
_01946_,44.3
_04743_,44.24
_03218_,44.16
_00299_,44.02
_00629_,43.86
_05332_,43.82
_00313_,43.8
_04044_,43.72
_05216_,43.68
_03208_,43.56
_03093_,43.54
_01691_,43.52
_02719_,43.48
_04447_,43.4
_01884_,43.34
net162,43.34
_03601_,43.315
_00685_,43.3
_05412_,43.3
_04730_,43.28
_01865_,43.2
_05607_,43.2
_03767_,43.11
_00945_,43.06
_03104_,42.98
_04864_,42.96
_04811_,42.84
_02612_,42.82
_01104_,42.8
_01648_,42.78
_04000_,42.72
_02960_,42.62
_00200_,42.6
_01534_,42.54
_02664_,42.46
_02860_,42.45
_01886_,42.36
_01751_,42.34
_00927_,42.32
_00105_,42.24
_01643_,42.185
_02570_,42.14
_00666_,42.12
_01962_,42.12
_04666_,42.08
_00199_,42.06
_02847_,42.06
_03415_,42.05
_01194_,42.04
_01447_,42.04
_01684_,42.03
_00278_,41.98
_05063_,41.98
_00794_,41.96
_04071_,41.9
_03695_,41.8
_03267_,41.78
_00403_,41.72
_01647_,41.68
_00264_,41.6
_03413_,41.57
_02369_,41.54
_02429_,41.4
_04763_,41.4
_04640_,41.38
_00813_,41.35
_02983_,41.34
_04483_,41.34
_02745_,41.255
_01569_,41.2
_05248_,41.2
_02689_,41.06
_04164_,41.02
_03536_,41
_02403_,40.94
_05303_,40.88
_03204_,40.84
_01005_,40.8
_03329_,40.8
_02613_,40.76
_02540_,40.66
_00803_,40.62
_02821_,40.56
_01858_,40.38
_04525_,40.26
_03186_,40.21
_00507_,40.16
_04598_,40.16
_03510_,40.14
_02608_,40.12
_04022_,40.04
_01752_,40.02
_04296_,40.02
_00912_,39.94
_00663_,39.88
_02895_,39.88
_03763_,39.88
_03037_,39.86
_00654_,39.82
_00638_,39.7
_04024_,39.69
_05274_,39.68
_03855_,39.66
_04629_,39.62
_04328_,39.58
_01667_,39.56
_00207_,39.48
_03774_,39.47
_04870_,39.46
_00676_,39.36
_03187_,39.3
_04387_,39.3
_00901_,39.22
_04642_,39.2
_04831_,39.16
_05665_,39.03
_05695_,39
_00821_,38.98
_04190_,38.86
_04388_,38.86
_01270_,38.8
_04072_,38.78
_04294_,38.78
_01233_,38.74
_01507_,38.74
_04156_,38.72
_05565_,38.65
_02253_,38.63
_04225_,38.615
_01240_,38.6
_02938_,38.58
_01018_,38.575
_00545_,38.56
_02159_,38.54
_04210_,38.52
_00589_,38.51
_00920_,38.48
_01484_,38.42
_03537_,38.36
_04030_,38.36
_05294_,38.36
_00819_,38.2
_05606_,38.16
_05270_,38.14
_04713_,38.1
_03147_,37.98
_03715_,37.94
_03716_,37.9
_00969_,37.86
_01006_,37.78
_01152_,37.76
_05278_,37.74
_04756_,37.68
_03875_,37.635
_00881_,37.6
_02991_,37.56
_04665_,37.48
_00314_,37.46
_04877_,37.4
_02818_,37.32
_01695_,37.3
_03894_,37.24
_00451_,37.22
_02231_,37.22
_04431_,37.18
_00740_,37.15
_04103_,37.1
_00861_,37.08
_03625_,37.06
_02030_,37.03
_01804_,37.02
_03595_,36.96
_02358_,36.92
_04563_,36.8
_04118_,36.78
_03180_,36.74
_04151_,36.74
_03499_,36.7
_04481_,36.68
_02607_,36.66
_04744_,36.64
_01703_,36.54
_04060_,36.52
_04723_,36.44
_04715_,36.42
_01091_,36.4
_04643_,36.39
_05433_,36.38
_00418_,36.28
_01099_,36.28
_04121_,36.26
_03599_,36.25
_04948_,36.2
_01156_,36.16
_01241_,36.14
_01309_,36.14
_04252_,36.08
_02970_,36.06
_04287_,36.04
_04163_,36.02
_04234_,35.94
_03663_,35.9
_01894_,35.88
_04650_,35.88
_00553_,35.82
_03933_,35.8
_02093_,35.78
_00946_,35.76
_01587_,35.76
_01535_,35.74
_05401_,35.7
_04293_,35.64
_04442_,35.64
_05526_,35.64
_01880_,35.62
_01839_,35.58
_04014_,35.56
_05275_,35.56
net140,35.48
_03290_,35.46
_03821_,35.46
_01560_,35.44
_04899_,35.44
_05437_,35.44
_03829_,35.42
_03653_,35.4
_03451_,35.36
_00321_,35.32
_02827_,35.315
_01163_,35.3
_03185_,35.24
_03444_,35.22
_03501_,35.2
_03069_,35.16
_02517_,35.14
_04337_,35.14
_00717_,35.12
_03194_,35.1
_02077_,35.08
_04154_,35.06
_02786_,35.04
_03191_,35.04
_03928_,34.98
_04398_,34.94
_00371_,34.92
_00452_,34.9
_02638_,34.86
_03877_,34.84
_05013_,34.82
_03849_,34.8
_03812_,34.78
_04456_,34.78
_00665_,34.76
_03328_,34.74
_01721_,34.72
_03233_,34.7
_04725_,34.7
_00814_,34.69
_01778_,34.68
_02912_,34.68
_03047_,34.68
net185,34.68
_03177_,34.66
_04764_,34.66
_04080_,34.59
_03317_,34.54
_05610_,34.52
_00006_,34.505
_03000_,34.49
_04677_,34.44
_00716_,34.34
_01505_,34.28
_04448_,34.28
_01217_,34.27
_02522_,34.22
_01557_,34.2
_00809_,34.18
_02820_,34.12
_05651_,34.12
_00851_,34.1
_04516_,34.08
_04931_,34.06
_04957_,34.06
_04345_,34.04
_01655_,34.02
_03420_,33.93
_04221_,33.9
_01941_,33.86
_04762_,33.84
_04614_,33.815
_00184_,33.8
_01940_,33.8
_02283_,33.72
_01975_,33.64
_00399_,33.62
_04015_,33.62
_01758_,33.6
_00500_,33.54
_04096_,33.54
_01879_,33.5
_05485_,33.5
_02518_,33.44
_04226_,33.4
_00542_,33.38
_04538_,33.34
_00530_,33.3
_02528_,33.28
_00311_,33.24
_00670_,33.24
_00966_,33.22
_01566_,33.215
_02032_,33.18
_01020_,33.16
_03552_,33.14
_00468_,33.12
_04897_,33.1
_03331_,33.095
_00039_,33.06
_03847_,33.06
_05536_,33.06
_01407_,33.04
_01472_,33.04
_04152_,32.99
_04032_,32.96
_03439_,32.88
net75,32.88
_03732_,32.87
_02001_,32.86
_02990_,32.86
_01519_,32.82
_00632_,32.8
_03110_,32.8
_02020_,32.78
_01365_,32.76
_04192_,32.76
_01172_,32.74
_02497_,32.74
_04562_,32.72
_02858_,32.7
_05375_,32.7
_04839_,32.695
_02024_,32.67
_00672_,32.66
_04047_,32.66
_05291_,32.66
_00786_,32.64
_01333_,32.62
_02214_,32.62
_01700_,32.58
_03079_,32.56
_01322_,32.52
_03112_,32.52
net193,32.52
_01404_,32.48
_03638_,32.44
_04128_,32.44
_04326_,32.4
_03739_,32.32
_03115_,32.305
_00850_,32.3
_03421_,32.3
_00856_,32.24
_04249_,32.18
net122,32.18
_01590_,32.15
_03303_,32.14
_03995_,32.14
_01591_,32.08
_03487_,32.06
_03975_,32.04
_01506_,32.02
_05510_,32.02
_00815_,32
_05155_,32
_03312_,31.99
_00043_,31.98
_02937_,31.96
_03657_,31.94
_05368_,31.93
_00074_,31.92
_01372_,31.9
_01966_,31.9
_03906_,31.9
_00208_,31.885
_01478_,31.88
_03007_,31.87
_03029_,31.86
_00011_,31.84
_01516_,31.84
_01577_,31.82
_03022_,31.81
_02744_,31.8
_03418_,31.76
_02204_,31.72
_04600_,31.715
_04796_,31.71
_04862_,31.695
_04219_,31.685
_03011_,31.68
_01536_,31.64
_03655_,31.62
_03309_,31.6
_03895_,31.52
_05542_,31.5
_05591_,31.48
_00972_,31.46
_04013_,31.4
_00437_,31.38
_04179_,31.34
_04329_,31.32
_01829_,31.31
_03360_,31.26
_00372_,31.24
_00514_,31.24
_03259_,31.22
_04430_,31.22
_03622_,31.18
_05427_,31.18
_01984_,31.16
_00124_,31.14
_02347_,31.12
_04214_,31.1
_05432_,31.1
_04284_,31.08
_01306_,31.02
_02993_,31.02
_01466_,31.01
_02366_,30.98
_00247_,30.93
_00608_,30.92
_05435_,30.895
_03790_,30.86
_05159_,30.86
_05476_,30.86
_05518_,30.86
_02378_,30.8
_01093_,30.795
_00158_,30.76
_00320_,30.76
_03426_,30.71
_01482_,30.7
_03169_,30.7
_03406_,30.66
_04512_,30.66
_01780_,30.64
_02521_,30.64
_03457_,30.64
_04420_,30.62
_01220_,30.58
_02215_,30.57
_00852_,30.56
_00586_,30.555
_03798_,30.52
_05509_,30.48
_00816_,30.44
_00007_,30.42
_04772_,30.42
_05114_,30.4
_00010_,30.32
_01570_,30.315
_00789_,30.3
net121,30.3
_01446_,30.28
_01818_,30.28
_04707_,30.26
_04158_,30.255
_04417_,30.24
_00911_,30.22
_04798_,30.2
_02062_,30.18
_02905_,30.18
_03173_,30.14
_01078_,30.12
_04892_,30.12
_03407_,30.115
_01907_,30.1
_02479_,30.095
_02468_,30.08
_05133_,30.08
_03134_,30.06
_01205_,30
_01134_,29.98
_04952_,29.98
_01175_,29.96
_02549_,29.96
_01019_,29.91
_02043_,29.9
_04510_,29.86
_00246_,29.855
_01164_,29.84
_01754_,29.84
_04262_,29.84
_03564_,29.83
_00471_,29.82
_05451_,29.79
_01465_,29.775
_05512_,29.74
_00065_,29.66
_04799_,29.66
_00161_,29.64
_01584_,29.625
_00741_,29.6
_01089_,29.58
_04536_,29.53
_04917_,29.52
_02014_,29.5
_03772_,29.45
_00322_,29.42
_02886_,29.42
_03148_,29.42
_04887_,29.36
_04102_,29.32
_01512_,29.28
_04283_,29.28
_02545_,29.24
_04570_,29.24
_04987_,29.24
_04434_,29.22
_04223_,29.2
_00940_,29.1
_01572_,29.04
_03660_,29.04
_01824_,29.02
_03213_,29.02
_03043_,28.955
_01538_,28.9
_03734_,28.9
_00394_,28.84
_03557_,28.82
_03965_,28.82
_01650_,28.8
_02078_,28.8
